ID,Name,Studio,Rotten,Genre,Domestic,Budget
1,9,Focus,57,Animation,31.74,30
2,42,Warner Bros,78,Sports,95.020213,40
3,300,Warner Bros.,60,Action,210.61,26
4,2012,Sony,39,Action,166.12,200
5,(500) Days of Summer ,Fox,87,Comedy,32.39,7.5
6,"10,000 B.C.",Warner Bros.,9,Adventure,94.78,105
7,12 Rounds ,Fox,30,Action,12.23,20
8,12 years a slave,Fox Searchlight,96,Drama,49.280178,20
9,127 Hours,Independent,93,Adventure,18.33,18
10,17 Again ,Independent,55,Comedy,64.20,20
11,2 Guns,Universal,64,Comedy,75.61246,61
12,21 and Over,Relativity,28,Comedy,25.68238,13
13,21 Jump Street,Sony,85,Comedy,138.447667,42
14,27 Dresses,Fox,40,Comedy,76.81,30
15,30 Days of Night,Independent,50,Horror,39.57,110
16,30 Minutes or Less,Independent,43,Comedy,37.05,28
17,47 Ronin,Universal,12,Action,38.05584,175
18,50/50,Independent,93,Comedy,35.01,8
19,88 Minutes,Sony,5,Drama,17.21,30
20,A Christmas Carol,Disney,52,Animation,137.90,200
21,A Dangerous Method,Independent,79,Drama,5.70,20
22,A Good Day to Die Hard,Fox,14,Action,67.349198,92
23,A Haunted House,Open Road Films,10,Comedy,40.041683,2.5
24,A Nightmare on Elm Street,Warner Bros.,13,Horror,63.08,35
25,A Serious Man ,Universal,89,Drama,9.23,7
26,A Very Harold and Kumar Christmas,Lionsgate,72,Comedy,35.06,19
27,Abduction,Vertigo Entertainment,4,Action,28.09,35
28,Abraham Lincoln: Vampire Hunter,Fox,35,Action,37.519139,69
29,Across the Universe,Independent,54,Romance,24.34,150
30,Admission,Focus Features,38,Drama,18.007317,13
31,Adventureland ,Miramax,89,Comedy,16.04,9.8
32,After Earth,Sony,11,Action,60.522097,130
33,Alice in Wonderland,Disney,52,Adventure,334.19,200
34,Alien vs. Predator -- Requiem,Fox,14,Horror,41.80,20
35,Aliens in the Attic ,Fox,30,Adventure,25.20,45
36,All About Steve ,Independent,6,Comedy,33.86,15
37,All About Steve ,Fox,6,Comedy,33.86,15
38,All Is Lost,Roadside Attractions,93,Adventure,6.223289,8.5
39,Alpha and Omega,Crest,17,Animation,25.11,20
40,Alvin and the Chipmunks,Fox,26,Animation,217.33,65
41,Alvin and the Chipmunks: The Squeakquel ,Independent,21,Animation,219.50,75
42,Amelia ,Independent,21,Adventure,14.25,40
43,American Gangster,Universal,79,Thriller,130.16,20
44,American Reunion,Uni.,44,Comedy,57.011521,50
45,An Education,Sony Classics,94,Drama,12.57,7.5
46,Anchorman 2,Paramount,75,Comedy,123.803339,50
47,Anna Karenina,Focus,63,Romance,12.816367,31
48,Anonymous,Relativity Media,46,Drama,4.46,30
49,Apollo 18,Weinstein Company,23,Horror,17.69,5
50,Appaloosa,Warner Bros.,77,Action,20.21,20
51,Arbitrage,RAtt.,87,Thriller,7.919574,12
52,Argo,WB,96,Drama,136.025503,45
53,Armored ,Sony,40,Action,15.99,20
54,Arthur,Warner Bros,26,Comedy,33.04,40
55,Arthur Christmas,Aardman Animations,92,Animation,46.46,150
56,Astro Boy ,Summit,49,Animation,19.55,65
57,August: Osage County,Weinstein,65,Comedy,26.514531,25
58,Australia,Fox,55,Adventure,49.55,78
59,Avatar ,Fox,83,Action,760.50,237
60,Away We Go ,Focus,67,Comedy,9.45,21
61,Baby Mama,Independent,63,Comedy,60.49,70
62,Babylon A.D.,Fox,7,Action,22.53,45
63,Bad Grandpa,Paramount,61,Comedy,102.003019,15
64,Bad Teacher,Independent,44,Comedy,100.29,20
65,Baggage Claim,Fox Searchlight,14,Comedy,21.569509,8.5
66,Bandslam ,Summit,79,Comedy,5.20,20
67,Bangkok Dangerous,Lionsgate,9,Action,15.30,45
68,Battle of the Year,Sony / Screen Gems,6,Drama,8.888355,20
69,Battle: Los Angeles,Relativity Media,35,Action,83.55,70
70,Battleship,Uni.,34,Action,65.422625,209
71,"Be Kind, Rewind",New Line,65,Comedy,11.18,20
72,Beastly,CBS Films,19,Romance,27.87,17
73,Beasts of the Southern Wild,FoxS,86,Drama,12.795746,2
74,Beautiful Creatures,Warner Bros,37,Romance,19.452138,60
75,Bedtime Stories,Disney,25,Comedy,110.10,80
76,Bee Movie,Paramount,52,Animation,126.63,40
77,Before Midnight,Sony Classics,98,Drama,8.114627,3
78,Beginners,Independent,84,Comedy,5.79,3.2
79,Beverly Hills Chihuahua,Disney,41,Adventure,94.51,20
80,Big Miracle,Uni.,74,Drama,20.1573,40
