ID,Genre,Year,Share
1,action,1995,19.76
2,action,1996,21.57
3,action,1997,22.92
4,action,1998,14.72
5,action,1999,12.4
6,action,2000,16.45
7,action,2001,16.77
8,action,2002,15.23
9,action,2003,22.94
10,action,2004,11.15
11,action,2005,15.55
12,action,2006,10.97
13,action,2007,15.17
14,action,2008,20.06
15,action,2009,19.18
16,action,2010,14.2
17,action,2011,20.78
18,action,2012,14.49
19,action,2013,20.37
20,action,2014,21.88
21,action,2015,26.12
22,action,2016,28.89
23,adventure,1995,13.32
24,adventure,1996,14.8
25,adventure,1997,10.14
26,adventure,1998,17.96
27,adventure,1999,18.31
28,adventure,2000,10.06
29,adventure,2001,24.21
30,adventure,2002,24.07
31,adventure,2003,19.76
32,adventure,2004,27.48
33,adventure,2005,23.45
34,adventure,2006,18.36
35,adventure,2007,21.06
36,adventure,2008,21.13
37,adventure,2009,19.33
38,adventure,2010,29.22
39,adventure,2011,24.12
40,adventure,2012,29.75
41,adventure,2013,25.76
42,adventure,2014,28.54
43,adventure,2015,18.5
44,adventure,2016,31.74
45,comedy,1995,26.98
46,comedy,1996,33.08
47,comedy,1997,29.38
48,comedy,1998,25.34
49,comedy,1999,33.35
50,comedy,2000,31.93
51,comedy,2001,28.04
52,comedy,2002,27.84
53,comedy,2003,32.21
54,comedy,2004,29.04
55,comedy,2005,31.21
56,comedy,2006,37.61
57,comedy,2007,30.99
58,comedy,2008,32.16
59,comedy,2009,27.2
60,comedy,2010,24.32
61,comedy,2011,24.24
62,comedy,2012,19.3
63,comedy,2013,23.79
64,comedy,2014,18.91
65,comedy,2015,21.49
66,comedy,2016,16.89
67,drama,1995,28.71
68,drama,1996,23.41
69,drama,1997,18.84
70,drama,1998,23.24
71,drama,1999,19.87
72,drama,2000,22.69
73,drama,2001,16.91
74,drama,2002,17.33
75,drama,2003,12.05
76,drama,2004,14.87
77,drama,2005,16.13
78,drama,2006,17.05
79,drama,2007,13.25
80,drama,2008,11.14
81,drama,2009,17.24
82,drama,2010,16.32
83,drama,2011,14.63
84,drama,2012,15.15
85,drama,2013,12.33
86,drama,2014,16.19
87,drama,2015,18.21
88,drama,2016,13.06
89,documentary,1995,1.54
90,documentary,1996,0.11
91,documentary,1997,0.16
92,documentary,1998,1.27
93,documentary,1999,1.2
94,documentary,2000,1.64
95,documentary,2001,0.26
96,documentary,2002,0.78
97,documentary,2003,0.98
98,documentary,2004,2.54
99,documentary,2005,1.88
100,documentary,2006,1.11
101,documentary,2007,0.72
102,documentary,2008,0.89
103,documentary,2009,1.75
104,documentary,2010,0.89
105,documentary,2011,0.82
106,documentary,2012,1.22
107,documentary,2013,0.45
108,documentary,2014,0.85
109,documentary,2015,0.58
110,documentary,2016,0.24
111,musical,1996,1.8
112,musical,1997,0.98
113,musical,1998,0.98
114,musical,1999,0.29
115,musical,2000,1.24
116,muscial,2001,0.84
117,musical,2002,0.69
118,musical,2003,1.84
119,musical,2004,0.24
120,musical,2005,0.93
121,musical,2006,0.74
122,musical,2007,2.62
123,musical,2008,2.66
124,musical,2009,0.37
125,musical,2010,0.06
126,musical,2011,0.51
127,musical,2012,2.31
128,musical,2013,0.68
129,musical,2014,1.58
130,musical,2015,1.71
131,musical,2016,0.02
132,tsh,1995,8.99
133,tsh,1996,6.87
134,tsh,1997,16.59
135,tsh,1998,16.29
136,tsh,1999,14.33
137,tsh,2000,14.4
138,tsh,2001,12.5
139,tsh,2002,13.65
140,tsh,2003,9.05
141,tsh,2004,13.65
142,tsh,2005,10.84
143,tsh,2006,14.07
144,tsh,2007,15.56
145,tsh,2008,10.98
146,tsh,2009,14.54
147,tsh,2010,13.74
148,tsh,2011,13.09
149,tsh,2012,16.52
150,tsh,2013,14.61
151,tsh,2014,11.88
152,tsh,2015,13.09
153,tsh,2016,7.49
