ID,Name,Studio,Rotten,Genre,Domestic,Budget,Year
1,9,Focus,57,Tsh,31.74,30,2009
2,42,Warner Bros,78,Drama,95.020213,40,2013
3,300,Warner Bros.,60,Action,210.61,26,2007
4,2012,Sony,39,Action,166.12,200,2009
5,(500) Days of Summer ,Fox,87,Comedy,32.39,7.5,2009
6,"10,000 B.C.",Warner Bros.,9,Adventure,94.78,105,2008
7,12 Rounds ,Fox,30,Action,12.23,20,2009
8,12 years a slave,Fox Searchlight,96,Drama,49.280178,20,2013
9,127 Hours,Independent,93,Adventure,18.33,18,2010
10,17 Again ,Independent,55,Comedy,64.2,20,2009
11,2 Guns,Universal,64,Comedy,75.61246,61,2013
12,21 and Over,Relativity,28,Comedy,25.68238,13,2013
13,21 Jump Street,Sony,85,Comedy,138.447667,42,2012
14,27 Dresses,Fox,40,Comedy,76.81,30,2008
15,30 Days of Night,Independent,50,Tsh,39.57,110,2007
16,30 Minutes or Less,Independent,43,Comedy,37.05,28,2011
17,47 Ronin,Universal,12,Action,38.05584,175,2013
18,50/50,Independent,93,Comedy,35.01,8,2011
19,88 Minutes,Sony,5,Drama,17.21,30,2008
20,A Christmas Carol,Disney,52,Adventure,137.9,200,2009
21,A Dangerous Method,Independent,79,Drama,5.7,20,2011
22,A Good Day to Die Hard,Fox,14,Action,67.349198,92,2013
23,A Haunted House,Open Road Films,10,Comedy,40.041683,2.5,2013
24,A Nightmare on Elm Street,Warner Bros.,13,Tsh,63.08,35,2010
25,A Serious Man ,Universal,89,Drama,9.23,7,2009
26,A Very Harold and Kumar Christmas,Lionsgate,72,Comedy,35.06,19,2011
27,Abduction,Vertigo Entertainment,4,Action,28.09,35,2011
28,Abraham Lincoln: Vampire Hunter,Fox,35,Action,37.519139,69,2012
29,Across the Universe,Independent,54,Musical,24.34,150,2007
30,Admission,Focus Features,38,Drama,18.007317,13,2013
31,Adventureland ,Miramax,89,Comedy,16.04,9.8,2009
32,After Earth,Sony,11,Action,60.522097,130,2013
33,Alice in Wonderland,Disney,52,Adventure,334.19,200,2010
34,Alien vs. Predator -- Requiem,Fox,14,Tsh,41.8,20,2007
35,Aliens in the Attic ,Fox,30,Adventure,25.2,45,2009
36,All About Steve ,Independent,6,Comedy,33.86,15,2009
37,All About Steve ,Fox,6,Comedy,33.86,15,2009
38,All Is Lost,Roadside Attractions,93,Adventure,6.223289,8.5,2013
39,Alpha and Omega,Crest,17,Adventure,25.11,20,2010
40,Alvin and the Chipmunks,Fox,26,Comedy,217.33,65,2007
41,Alvin and the Chipmunks: The Squeakquel ,Independent,21,Comedy,219.5,75,2009
42,Amelia ,Independent,21,Adventure,14.25,40,2009
43,American Gangster,Universal,79,Tsh,130.16,20,2007
44,American Reunion,Uni.,44,Comedy,57.011521,50,2012
45,An Education,Sony Classics,94,Drama,12.57,7.5,2009
46,Anchorman 2,Paramount,75,Comedy,123.803339,50,2013
47,Anna Karenina,Focus,63,Drama,12.816367,31,2012
48,Anonymous,Relativity Media,46,Drama,4.46,30,2011
49,Apollo 18,Weinstein Company,23,Tsh,17.69,5,2011
50,Appaloosa,Warner Bros.,77,Action,20.21,20,2008
51,Arbitrage,RAtt.,87,Tsh,7.919574,12,2012
52,Argo,WB,96,Drama,136.025503,45,2012
53,Armored ,Sony,40,Action,15.99,20,2009
54,Arthur,Warner Bros,26,Comedy,33.04,40,2011
55,Arthur Christmas,Aardman Animations,92,Adventure,46.46,150,2011
56,Astro Boy ,Summit,49,Action,19.55,65,2009
57,August: Osage County,Weinstein,65,Comedy,26.514531,25,2013
58,Australia,Fox,55,Adventure,49.55,78,2008
59,Avatar ,Fox,83,Action,760.5,237,2009
60,Away We Go ,Focus,67,Comedy,9.45,21,2009
61,Baby Mama,Independent,63,Comedy,60.49,70,2008
62,Babylon A.D.,Fox,7,Action,22.53,45,2008
63,Bad Grandpa,Paramount,61,Comedy,102.003019,15,2013
64,Bad Teacher,Independent,44,Comedy,100.29,20,2011
65,Baggage Claim,Fox Searchlight,14,Comedy,21.569509,8.5,2013
66,Bandslam ,Summit,79,Comedy,5.2,20,2009
67,Bangkok Dangerous,Lionsgate,9,Action,15.3,45,2008
68,Battle of the Year,Sony / Screen Gems,6,Drama,8.888355,20,2013
69,Battle: Los Angeles,Relativity Media,35,Action,83.55,70,2011
70,Battleship,Uni.,34,Action,65.422625,209,2012
71,"Be Kind, Rewind",New Line,65,Comedy,11.18,20,2008
72,Beastly,CBS Films,19,Drama,27.87,17,2011
73,Beasts of the Southern Wild,FoxS,86,Drama,12.795746,2,2012
74,Beautiful Creatures,Warner Bros,37,Drama,19.452138,60,2013
75,Bedtime Stories,Disney,25,Comedy,110.1,80,2008
76,Bee Movie,Paramount,52,Adventure,126.63,40,2007
77,Before Midnight,Sony Classics,98,Drama,8.114627,3,2013
78,Beginners,Independent,84,Comedy,5.79,3.2,2010
79,Beverly Hills Chihuahua,Disney,41,Adventure,94.51,20,2008
80,Big Miracle,Uni.,74,Drama,20.1573,40,2012
81,Black Nativity,Fox Searchlight,48,Musical,7.018189,17.5,2013
82,Black Swan        ,Fox,88,Drama,106.95,13,2010
83,Blades of Glory,Paramount,69,Comedy,118.59,110,2007
84,Blue Jasmine,Sony Classics,91,Drama,33.201545,18,2013
85,Body of Lies,Warner Bros.,53,Action,39.39,67.5,2008
86,Bolt,Disney,89,Adventure,114.05,150,2008
87,Brave,BV,78,Adventure,237.283207,185,2012
88,Bride Wars ,Fox,11,Comedy,58.75,30,2009
89,Bridesmaids,Relativity Media,90,Comedy,169.11,32.5,2011
90,Brooklyn's Finest,Independent,42,Action,27.16,17,2009
91,Brothers ,Lionsgate,61,Drama,28.5,26,2009
92,Bruno ,Universal,68,Comedy,60.1,42,2009
93,Buried,Independent,86,Drama,1.04,2,2010
94,Burlesque,Paramount,36,Drama,39.44,55,2010
95,Burn After Reading,Relativity Media,78,Comedy,60.36,37,2008
96,Captain America: The First Avenger,Disney,78,Action,176.65,140,2011
97,Captain Phillips,Sony,93,Action,106.244151,55,2013
98,Carrie,Sony / Screen Gems,49,Tsh,35.266619,30,2013
99,Cars 2,Pixar,38,Comedy,191.45,200,2011
100,Case 39,Independent,23,Tsh,13.26,26,2009
101,Cats & Dogs: The Revenge of Kitty Galore,Independent,13,Action,43.59,85,2010
102,Cedar Rapids,20th Century Fox,86,Comedy,6.86,10,2011
103,Changeling,Independent,62,Drama,35.74,55,2008
104,Chernobyl Diaries,WB,19,Tsh,18.11964,1,2012
105,Chronicle (2012),Fox,85,Drama,64.575175,12,2012
106,Cirque du Freak: The Vampire's Assistant ,Universal,38,Action,13.87,40,2009
107,City Island,Independent,81,Comedy,6.67,6,2009
108,City of Ember,Independent,52,Adventure,7.87,38,2008
109,Clash of the Titans,Warner Bros.,28,Action,163.21,125,2010
110,Cloud Atlas,WB,66,Drama,27.108272,102,2012
111,Cloudy with a Chance of Meatballs ,Sony,86,Comedy,124.9,100,2009
112,Cloudy with a Chance of Meatballs 2,Sony,70,Comedy,118.870505,78,2013
113,Cloverfield,Paramount,77,Action,80.05,25,2008
114,College Road Trip,Buena Vista,13,Adventure,45.61,140,2008
115,Colombiana,Sony,28,Action,36.67,40,2011
116,Conan the Barbarian,Lionsgate,22,Action,21.3,90,2011
117,Confessions of a Shopaholic ,Disney,24,Comedy,44.27,70,2009
118,Contagion,Warner Bros,84,Tsh,75.66,60,2011
119,Contraband,Uni.,51,Action,66.528,25,2012
120,Cop Out,Warner Bros.,19,Action,44.88,30,2010
121,Coraline ,Universal,89,Tsh,75.28,60,2009
122,Country Strong,Sony,20,Drama,20.22,15,2010
123,Couples Retreat ,Universal,12,Comedy,109.2,60,2009
124,Cowboys and Aliens,Universal,44,Action,100.24,163,2011
125,Crank: High Voltage ,Lionsgate,62,Action,13.7,12.9,2009
126,"Crazy, Stupid, Love",Warner Bros,78,Comedy,84.35,50,2011
127,Cyrus,Independent,80,Comedy,7.47,7,2010
128,Daddy Day Camp,Sony,1,Comedy,13.24,20,2007
129,Dallas Buyers Club,Focus Features,94,Drama,24.845161,5,2013
130,Dance Flick ,Paramount,17,Action,25.66,25,2009
131,Dark Shadows,WB,38,Comedy,79.727149,150,2012
132,Dark Skies,Weinstein / Dimension,39,Tsh,17.418667,3.5,2013
133,Date Night,Fox,66,Comedy,98.71,55,2010
134,Daybreakers,Lionsgate,67,Action,30.1,20,2009
135,Dear John,Sony,29,Drama,80.01,25,2010
136,Death at a Funeral,Independent,40,Comedy,42.74,21,2007
137,Death Race,Universal,42,Action,36.32,45,2008
138,"Definitely, Maybe",Universal,71,Comedy,32.24,7,2008
139,Despicable Me,Universal,81,Comedy,251.51,69,2010
140,Despicable Me 2,Universal,74,Comedy,368.061265,76,2013
141,Devil,Independent,52,Tsh,33.6,10,2010
142,Diary of a Wimpy Kid,Independent,53,Comedy,64,15,2010
143,Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox,47,Comedy,52.7,21,2011
144,Diary of a Wimpy Kid: Dog Days,Fox,51,Comedy,49.008662,22,2012
145,Did You Hear About the Morgans? ,Sony,12,Comedy,29.58,58,2009
146,Dinner for Schmucks,Paramount,43,Comedy,73.03,69,2010
147,Disaster Movie,Lionsgate,2,Comedy,14.19,20,2008
148,District 9 ,Independent,91,Action,115.6,30,2009
149,Disturbia,Paramount,67,Tsh,80.21,15,2007
150,Django Unchained,Wein.,88,Drama,162.805434,100,2012
151,Dolphin Tale,Independent,84,Drama,72.29,37,2011
152,Don Jon,Relativity,81,Comedy,24.477704,6,2013
153,Don't Be Afraid Of The Dark,Miramax Films,59,Tsh,24.05,25,2010
154,Doomsday,Relativity Media,48,Action,11.01,33,2008
155,Doubt,Independent,78,Drama,33.45,25,2008
156,Dr. Seuss' Horton Hears a Who!,Fox,79,Adventure,154.53,85,2008
157,Dr. Seuss' The Lorax,Uni.,54,Adventure,214.0305,70,2012
158,Drag Me to Hell ,Universal,92,Tsh,42.1,30,2009
159,Dragon Wars (aka D-War),Mediaplex,27,Action,10.98,45,2007
160,Dragonball Evolution ,Fox,15,Action,9.36,30,2009
161,Dream House,Morgan Creek Productions,7,Tsh,21.3,50,2011
162,Dredd,LGF,78,Action,13.414714,50,2012
163,Drillbit Taylor,Paramount,26,Comedy,32.86,40,2008
164,Drive,Independent,93,Tsh,35.06,15,2011
165,Drive Angry,Independent,45,Action,10.72,45,2011
166,Due Date,Warner Bros.,40,Comedy,100.54,50,2010
167,Duplicity ,Universal,64,Drama,40.57,60,2009
168,Dylan Dog: Dead of Night,Independent,6,Tsh,1.19,20,2010
169,Eagle Eye,Paramount,27,Action,101.44,80,2008
170,Easy A,Sony,85,Comedy,58.4,8,2010
171,Eat Pray Love,Sony,36,Drama,80.57,60,2010
172,Elysium,TriStar,68,Action,93.050117,115,2013
173,Enchanted,Disney,93,Comedy,127.81,60,2007
174,Ender's Game,Lionsgate / Summit,61,Action,61.737191,110,2013
175,Enough Said,Fox Searchlight,96,Comedy,17.550872,8,2013
176,Epic,Fox,64,Adventure,107.518682,100,2013
177,Epic Movie,Independent,2,Comedy,39.74,75,2007
178,Escape Plan,Lionsgate / Summit,49,Action,25.132228,50,2013
179,Evan Almighty,Universal,23,Comedy,100.46,65,2007
180,Everybody's Fine ,Miramax,46,Drama,9.2,21,2009
181,Everything Must Go,Reliance Entertainment,74,Drama,2.71,5,2010
182,Evil Dead,TriStar,62,Tsh,54.239856,17,2013
183,Expelled: No Intelligence Allowed,,10,Documentary,7.72,3.5,2008
184,Extract ,Miramax,62,Comedy,10.8,7.5,2009
185,Extraordinary Measures,CBS,27,Drama,12.07,31,2010
186,Extremely Loud and Incredibly Close,Warner Bros.,47,Drama,31.85,40,2009
187,Fame,MGM,25,Comedy,22.46,18,2011
188,Fantastic Four: Rise of the Silver Surfer,Fox,35,Action,131.92,19,2007
189,Fantastic Mr. Fox ,Fox,93,Comedy,21,40,2009
190,Fast & Furious 6,Universal,69,Action,238.67985,160,2013
191,Fast and Furious ,Universal,28,Action,155.1,85,2009
192,Fast Five,Universal,78,Action,209.4,125,2011
193,Faster,CBS,41,Action,23.24,24,2010
194,Final Destination 5,New Line Cinema,61,Tsh,42.59,40,2011
195,Fired Up! ,Independent,22,Comedy,17.2,20,2009
196,Fireproof,Independent,40,Drama,33.46,0.5,2008
197,First Sunday,Sony,13,Comedy,37.93,13,2008
198,Flight,Par.,78,Drama,93.772375,31,2012
199,Fool's Gold,Warner Bros.,11,Adventure,70.23,72.5,2008
200,Footloose,Spyglass Entertainment,71,Drama,51.8,24,2011
201,For Colored Girls,Independent,33,Drama,37.73,21,2010
202,Forgetting Sarah Marshall,Independent,85,Comedy,63.17,30,2008
203,Four Christmases,Warner Bros.,26,Comedy,120.15,80,2008
204,Frances Ha,IFC,93,Comedy,4.066582,7,2012
